image color x y value
2018-09-11_15-53-24 yellow 239 207 3
2018-09-11_15-53-24 black 226 290 6
2018-09-11_15-53-24 white 238 133 5
2018-09-11_15-54-49 red 177 139 3
2018-09-11_15-54-49 blue 338 102 4
2018-09-11_15-54-49 green 269 236 1
2018-09-11_15-54-49 yellow 217 162 1
2018-09-11_15-54-49 black 332 179 4
2018-09-11_15-54-49 white 241 193 6
2018-09-11_15-54-56 red 170 169 6
2018-09-11_15-54-56 blue 333 262 4
2018-09-11_15-54-56 green 158 219 5
2018-09-11_15-54-56 yellow 226 154 5
2018-09-11_15-54-56 black 361 254 3
2018-09-11_15-54-56 white 376 186 1
2018-09-11_14-15-00 red 192 175 5
2018-09-11_14-15-00 blue 247 197 1
2018-09-11_14-15-00 green 283 282 1
2018-09-11_14-15-00 yellow 287 81 4
2018-09-11_14-15-00 black 217 231 2
2018-09-11_14-15-00 white 195 272 1
2018-09-11_15-52-34 red 156 244 3
2018-09-11_15-52-34 blue 329 289 4
2018-09-11_15-52-34 green 238 313 5
2018-09-11_15-52-34 yellow 206 190 3
2018-09-11_15-52-34 black 192 246 2
2018-09-11_15-52-34 white 204 111 3
2018-09-11_15-53-32 red 301 127 3
2018-09-11_15-53-32 blue 256 307 5
2018-09-11_15-53-32 green 154 222 3
2018-09-11_15-53-32 yellow 359 163 5
2018-09-11_15-53-32 black 288 94 3
2018-09-11_15-53-32 white 240 97 4
2018-09-11_14-16-09 red 226 298 3
2018-09-11_14-16-09 blue 186 135 5
2018-09-11_14-16-09 green 197 329 1
2018-09-11_14-16-09 yellow 263 300 6
2018-09-11_14-16-09 black 231 254 1
2018-09-11_14-16-09 white 277 245 6
2018-09-11_15-54-16 red 225 113 2
2018-09-11_15-54-16 blue 184 120 3
2018-09-11_15-54-16 green 337 270 4
2018-09-11_15-54-16 yellow 250 293 3
2018-09-11_15-54-16 black 281 166 2
2018-09-11_15-54-16 white 213 281 5
2018-09-11_15-55-25 red 191 95 2
2018-09-11_15-55-25 blue 208 190 6
2018-09-11_15-55-25 green 252 107 6
2018-09-11_15-55-25 yellow 246 179 2
2018-09-11_15-55-25 black 157 200 6
2018-09-11_15-55-25 white 227 153 1
